Amerika | America, USA
der Amerikaner| American (Man)
Die Ameriaknerin (Amerikanerinnen)| American (woman)
Die Angst (Ängste)| fear
Das Archiv (Archive)| archive
Die Ausstellung (Ausstellungen)| exhibit
der Bahnhof (Bahnhöfe)| train station
das Bett (Betten) | bed
die Bibliothek (Bibliotheken)| library
das Bild (Bilder)| picture, painting
die Brille (Brillen)| eyeglasses
das Brot (Brote)| bread
der Computer (Computer)| computer
das Deutsch| German (Language)
der/die Deustche (Die Deutschen) (adjectival noun) | German (Person)
der Durst| thirst
der Enkel (Enkel)| grandson
die Enkelin (Enkelinnen) | granddaughter
die Farbe (Farben)| color
der Fernseher (Fernseher)| TV Set
die Galerie (Galerien)| gallery
das Geld| money
die Geschichte (Geschichten)| story, history
das Glas (Gläser)| glass
das Haar (Haare)| hair
das Handy (Handys)| cell phone
das Holz (Hölzer)| wood
die Hose (Hosen)| Pants
der Hunger| hunger
die Institution (Institutionen)| Institution
das Kleid (Kleider)| Dress
die Kleidung| Clothes
die Kultur (Kulturen)| culture
die Kunst (Künste)| Art
der Kunststoff (Kunststoffe)| Plastic
die Lampe (Lampen)| Lamp
Das Licht (Lichter)| Light
die Lust (Lüste)| Lust, Desire, Craving
das Metall (Metalle)| Metal
Möbel (pl.)| Furniture
das Museum (Museen)| Museum
Österreich| Austria
der ÖSterricher (Österreicher)| Austran (man)
die Österreicherin (Österreicherinnen)| Austrian (woman)
das Papier (Papiere)| Paper
das Plastik| Plastic
der Preis (Preise)| price
die Qualität (Qualitäten)| Quality
der Rock (Röcke)| Skirt
die Sammlung (Sammlungen)| Collection
der Schal (Schals) | scarf
der Schrank (Schränke)| cabinet; wardrobe, closet
der Schuh (Schuhe)| Shoe
die Schweiz| Switzerland
der Schweizer (Schweizer)| Swiss (Man)
der Schweizerin (Schweizerinnen)| Swiss (Woman)
der Sessel (Sessel)| armchair, recliner
die Sprache (Sprachen)| language
der Stoff (Stoffe)| Material
der Stress| stress
der Stuhl Stühle| chair
die Tasche (Taschen)| bag
die Tasse (Tassen)| cup
der Teppich (Teppiche)| Rug
der Tisch (Tische)| Table
das Tuch (Tücher)| scarf, cloth
die Uhr (Uhren)| clock, watch
das Wasser (Wasser)| water
die Woche (Wochen)| week
das Wohnzimmer (Wohnzimmer)| living room
die Zeitschrift (Zeitschriften) | Magazine
das Zimmer (Zimmer)| room
