attraktiv| attractive
auffällig| noticeable
berühmt| famous
blau| blue
bunt| colorful
dick| thick
dunkelblau| navy blue
dünn| thin
einfach| simple
elegant| elegant
erfolgreich| successful
gelb| yellow
grau| grey
groß| big, tall
grün| green
hübsch| cute
klasse| great, awesome
klein| small
mehr| more
modern| modern
morgen| tomorrow
orange| orange
österreichisch| Austrian
perfekt| perfect
rot| red
schließlich| finally
schmall| slim, narrow
schrecklich| horrible
schwarz| black
stabil| stable
super| super
toll| great
verrückt| crazy
verschieden| different
vielleicht| maybe
warm| warm
weiß| white
wichtig| important
